wl_permit,Horizontal_depth,Vertical_depth,normalized_E,duration,conductor,surface,intermediate,liner_length,latitude,longitude,year
28501,250.469727,8893.530273,0.986966762,12,102,1785,9210,10307,48.75059075,-103.6538032,2014
28462,10575.2002,10171.7998,0.901616142,23,0,1635,10554,11087,48.05176475,-102.9698219,2015
28443,10087.90039,10612.09961,0.520942521,11,0,2359,10960,10543,48.13993448,-102.6012893,2014
28437,9815.7998,10889.2002,0.659998688,23,0,2288,11344,10257,48.25649234,-103.4038231,2015
28392,9938.40039,11035.59961,0.019112922,23,0,2045,11594,10360,47.74621082,-103.098137,2015
28331,3771.5,10626.5,0.199600125,17,102,1990,10975,10341,47.96266,-102.6974908,2015
28317,6339.139648,9345.860352,0.17616004,12,0,1985,9483,6960,47.97889857,-102.2059257,2014
28250,302.90039,10403.09961,0.180606376,12,0,2109,10404,9985,48.2270674,-102.7973918,2014
28200,327.2998,11095.7002,0.142754985,17,0,2266,11448,10785,47.90348261,-103.4188195,2014
28142,154.59961,10667.40039,0.677472486,16,0,1816,10681,9845,47.99049602,-102.8933428,2015
28123,9983.59961,10722.40039,0.18729057,14,0,2210,11072,10456,47.03734647,-103.2380418,2014
28075,363.7002,10481.2998,0.442572767,15,0,2177,108686,12978,47.55201743,-102.4919744,2015
28072,317.7002,10558.2998,0.246965347,14,0,1785,10560,10561,47.99340324,-102.8300826,2014
28036,9942.599609,9867.400391,0.293834954,16,0,2075,9990,10668,48.152403,-102.3756969,2014
28035,10050.34961,9862.650391,0.080284324,12,0,2046,10116,10706,48.15240291,-102.3758814,2014
28014,10183.2002,9391.799805,0.334001818,10,0,1985,9594,10791,47.96454219,-102.2063286,2015
27981,9863,10342,0.228644711,10,408,1840,1008,10493,47.94853357,-103.9415752,2014
27973,342.7002,10625.2998,0.042239373,12,0,2329,10626,10916,48.1399114,-102.6416671,2014
27919,10217.16992,9172.830078,0.219753684,12,105,1757,9313,10991,48.69220011,-103.6966611,2014
27874,275.9003906,10610.09961,0.367597978,18,0,1825,10933,7014,47.96225827,-102.9450315,2014
27838,9501.2998,10990.7002,0.118693787,18,0,2240,11124,10176,47.58741351,-102.6686056,2014
27800,10837.2002,10472.7998,0.378497113,12,0,1856,10539,11401,47.99337392,-102.8559346,2014
27783,10462.40039,10467.59961,0.873796957,12,0,2248,10822,10956,48.28384092,-103.6496816,2014
27777,9868.020507,9412.379883,0.107662959,14,0,2271,9839,10231,48.42190846,-102.5578988,2014
27772,229.980469,9876.019531,0.162606676,18,0,1877,9883,8926,48.26142481,-102.9533694,2015
27727,10032.37988,9182.620117,0.73120755,14,102,1736,9645,10622,48.60512012,-103.6966515,2014
27726,10227.07031,9422.929688,0.254796409,12,102,1715,9586,11005,48.60512012,-103.6970858,2014
27710,10374.29981,9889.700195,0.192119177,18,0,2319,10317,10801,48.12250098,-102.3728177,2015
